"Month","Commodity","Point figure"
"2005M01","0 CPI",99.09
"2005M02","0 CPI",99.79
"2005M03","0 CPI",100.09
"2005M04","0 CPI",100.19
"2005M05","0 CPI",99.91
"2005M06","0 CPI",100.02
"2005M07","0 CPI",99.59
"2005M08","0 CPI",99.96
"2005M09","0 CPI",100.50
"2005M10","0 CPI",100.42
"2005M11","0 CPI",100.18
"2005M12","0 CPI",100.20
"2006M01","0 CPI",99.88
"2006M02","0 CPI",100.68
"2006M03","0 CPI",100.99
"2006M04","0 CPI",101.52
"2006M05","0 CPI",101.64
"2006M06","0 CPI",101.74
"2006M07","0 CPI",101.47
"2006M08","0 CPI",101.86
"2006M09","0 CPI",102.00
"2006M10","0 CPI",102.27
"2006M11","0 CPI",102.32
"2006M12","0 CPI",102.43
"2007M01","0 CPI",102.22
"2007M02","0 CPI",102.86
"2007M03","0 CPI",103.64
"2007M04","0 CPI",104.14
"2007M05","0 CPI",104.03
"2007M06","0 CPI",104.18
"2007M07","0 CPI",104.07
"2007M08","0 CPI",104.22
"2007M09","0 CPI",104.69
"2007M10","0 CPI",105.01
"2007M11","0 CPI",105.25
"2007M12","0 CPI",105.07
"2008M01","0 CPI",106.15
"2008M02","0 CPI",106.69
"2008M03","0 CPI",107.64
"2008M04","0 CPI",107.80
"2008M05","0 CPI",108.37
"2008M06","0 CPI",108.76
"2008M07","0 CPI",108.60
"2008M08","0 CPI",109.08
"2008M09","0 CPI",109.62
"2008M10","0 CPI",109.60
"2008M11","0 CPI",109.05
"2008M12","0 CPI",108.72
"2009M01","0 CPI",108.46
"2009M02","0 CPI",108.55
"2009M03","0 CPI",108.63
"2009M04","0 CPI",108.61
"2009M05","0 CPI",108.41
"2009M06","0 CPI",108.67
"2009M07","0 CPI",107.97
"2009M08","0 CPI",108.31
"2009M09","0 CPI",108.50
"2009M10","0 CPI",107.92
"2009M11","0 CPI",108.03
"2009M12","0 CPI",108.13
"2010M01","0 CPI",108.26
"2010M02","0 CPI",108.68
