"Month","Commodity","Point figure"
"2005M01","01 FOOD AND NON-ALCOHOLIC BEVERAGES",100.37
"2005M02","01 FOOD AND NON-ALCOHOLIC BEVERAGES",101.82
"2005M03","01 FOOD AND NON-ALCOHOLIC BEVERAGES",102.12
"2005M04","01 FOOD AND NON-ALCOHOLIC BEVERAGES",100.77
"2005M05","01 FOOD AND NON-ALCOHOLIC BEVERAGES",100.18
"2005M06","01 FOOD AND NON-ALCOHOLIC BEVERAGES",99.61
"2005M07","01 FOOD AND NON-ALCOHOLIC BEVERAGES",99.53
"2005M08","01 FOOD AND NON-ALCOHOLIC BEVERAGES",98.90
"2005M09","01 FOOD AND NON-ALCOHOLIC BEVERAGES",99.02
"2005M10","01 FOOD AND NON-ALCOHOLIC BEVERAGES",98.69
"2005M11","01 FOOD AND NON-ALCOHOLIC BEVERAGES",99.18
"2005M12","01 FOOD AND NON-ALCOHOLIC BEVERAGES",99.76
"2006M01","01 FOOD AND NON-ALCOHOLIC BEVERAGES",100.52
"2006M02","01 FOOD AND NON-ALCOHOLIC BEVERAGES",102.00
"2006M03","01 FOOD AND NON-ALCOHOLIC BEVERAGES",101.40
"2006M04","01 FOOD AND NON-ALCOHOLIC BEVERAGES",101.68
"2006M05","01 FOOD AND NON-ALCOHOLIC BEVERAGES",101.42
"2006M06","01 FOOD AND NON-ALCOHOLIC BEVERAGES",101.13
"2006M07","01 FOOD AND NON-ALCOHOLIC BEVERAGES",100.97
"2006M08","01 FOOD AND NON-ALCOHOLIC BEVERAGES",100.92
"2006M09","01 FOOD AND NON-ALCOHOLIC BEVERAGES",101.05
"2006M10","01 FOOD AND NON-ALCOHOLIC BEVERAGES",101.25
"2006M11","01 FOOD AND NON-ALCOHOLIC BEVERAGES",101.94
"2006M12","01 FOOD AND NON-ALCOHOLIC BEVERAGES",102.09
"2007M01","01 FOOD AND NON-ALCOHOLIC BEVERAGES",103.43
"2007M02","01 FOOD AND NON-ALCOHOLIC BEVERAGES",103.63
"2007M03","01 FOOD AND NON-ALCOHOLIC BEVERAGES",103.36
"2007M04","01 FOOD AND NON-ALCOHOLIC BEVERAGES",104.64
"2007M05","01 FOOD AND NON-ALCOHOLIC BEVERAGES",102.81
"2007M06","01 FOOD AND NON-ALCOHOLIC BEVERAGES",102.27
"2007M07","01 FOOD AND NON-ALCOHOLIC BEVERAGES",103.49
"2007M08","01 FOOD AND NON-ALCOHOLIC BEVERAGES",102.48
"2007M09","01 FOOD AND NON-ALCOHOLIC BEVERAGES",103.08
"2007M10","01 FOOD AND NON-ALCOHOLIC BEVERAGES",103.31
"2007M11","01 FOOD AND NON-ALCOHOLIC BEVERAGES",104.69
"2007M12","01 FOOD AND NON-ALCOHOLIC BEVERAGES",104.36
"2008M01","01 FOOD AND NON-ALCOHOLIC BEVERAGES",109.44
"2008M02","01 FOOD AND NON-ALCOHOLIC BEVERAGES",109.72
"2008M03","01 FOOD AND NON-ALCOHOLIC BEVERAGES",110.92
"2008M04","01 FOOD AND NON-ALCOHOLIC BEVERAGES",111.25
"2008M05","01 FOOD AND NON-ALCOHOLIC BEVERAGES",112.58
"2008M06","01 FOOD AND NON-ALCOHOLIC BEVERAGES",111.38
"2008M07","01 FOOD AND NON-ALCOHOLIC BEVERAGES",112.48
"2008M08","01 FOOD AND NON-ALCOHOLIC BEVERAGES",112.23
"2008M09","01 FOOD AND NON-ALCOHOLIC BEVERAGES",113.56
"2008M10","01 FOOD AND NON-ALCOHOLIC BEVERAGES",113.79
"2008M11","01 FOOD AND NON-ALCOHOLIC BEVERAGES",115.39
"2008M12","01 FOOD AND NON-ALCOHOLIC BEVERAGES",115.55
"2009M01","01 FOOD AND NON-ALCOHOLIC BEVERAGES",117.13
"2009M02","01 FOOD AND NON-ALCOHOLIC BEVERAGES",117.89
"2009M03","01 FOOD AND NON-ALCOHOLIC BEVERAGES",117.74
"2009M04","01 FOOD AND NON-ALCOHOLIC BEVERAGES",117.77
"2009M05","01 FOOD AND NON-ALCOHOLIC BEVERAGES",115.94
"2009M06","01 FOOD AND NON-ALCOHOLIC BEVERAGES",116.37
"2009M07","01 FOOD AND NON-ALCOHOLIC BEVERAGES",115.40
"2009M08","01 FOOD AND NON-ALCOHOLIC BEVERAGES",114.45
"2009M09","01 FOOD AND NON-ALCOHOLIC BEVERAGES",114.52
"2009M10","01 FOOD AND NON-ALCOHOLIC BEVERAGES",108.10
"2009M11","01 FOOD AND NON-ALCOHOLIC BEVERAGES",109.97
"2009M12","01 FOOD AND NON-ALCOHOLIC BEVERAGES",110.25
"2010M01","01 FOOD AND NON-ALCOHOLIC BEVERAGES",110.14
"2010M02","01 FOOD AND NON-ALCOHOLIC BEVERAGES",110.60
"2010M03","01 FOOD AND NON-ALCOHOLIC BEVERAGES",110.82
"2010M04","01 FOOD AND NON-ALCOHOLIC BEVERAGES",111.19
"2010M05","01 FOOD AND NON-ALCOHOLIC BEVERAGES",109.02
"2010M06","01 FOOD AND NON-ALCOHOLIC BEVERAGES",109.10
"2010M07","01 FOOD AND NON-ALCOHOLIC BEVERAGES",108.79
